cp,negocios_estimados,area_km2,densidad_negocios_km2,sector_principal,lat,lon
79512,479,65.061,7.4,Comercio,21.880355192373585,-101.16633554338239
79510,251,108.268,2.3,Comercio,21.803998874865243,-101.14330463597548
79694,373,118.17,3.2,Industria manufacturera,21.5240249221585,-99.8156737235328
79696,397,129.872,3.1,Comercio,21.5214266606276,-99.91425546238403
78800,423,56.555,7.5,Comercio,23.7462716706721,-100.57170914727044
78396,2099,2.002,1048.2,Servicios,22.135595337018444,-100.92393524712676
79513,203,82.708,2.5,Comercio,21.889870334846364,-101.05965072598178
78395,773,27.662,27.9,Servicios,22.084008493972302,-100.8961987542244
78425,353,51.34,6.9,Servicios,22.013028750633623,-100.83502531076516
78447,1431,11.323,126.4,Comercio,22.183060937822457,-100.81609607927945
78446,1086,18.607,58.4,Industria manufacturera,22.161062634227715,-100.77744021442156
78426,328,76.273,4.3,Comercio,22.043104018842953,-100.91456024931449
78448,1253,17.39,72.1,Comercio,22.165349438589526,-100.8530644177241
79546,258,65.409,3.9,Comercio,22.064378324009876,-100.69947699954413
78540,260,265.459,1.0,Servicios,23.796215070689282,-101.24432035979213
78543,292,203.446,1.4,Industria manufacturera,23.737428655802873,-101.08529369942524
78567,315,117.931,2.7,Salud y educación,23.41682831029357,-100.98013856086602
78546,257,128.805,2.0,Servicios,23.616578047601603,-101.03351151908527
78560,329,168.585,2.0,Servicios,23.757005137220656,-100.95788647312597
79684,3200,0.886,3613.5,Servicios,21.658046847290965,-99.81801159958924
78565,299,168.318,1.8,Comercio,23.542394715447433,-100.94097924968816
79695,238,107.16,2.2,Comercio,21.616117678359235,-99.90130403758575
78646,169,136.366,1.2,Comercio,23.203518140691752,-102.2136740216118
78647,126,244.526,0.5,Comercio,23.331106179509746,-102.19640380931256
78649,191,343.426,0.6,Servicios,23.165766001541616,-101.8245804386767
78545,253,130.479,1.9,Comercio,23.607233516561692,-101.12609268784331
78547,191,175.02,1.1,Salud y educación,23.49987380559172,-101.06357092545547
78893,238,234.463,1.0,Servicios,23.124189817012933,-100.3874789102351
78896,136,258.011,0.5,Industria manufacturera,22.962091253230163,-100.26183643542123
78786,3200,0.345,9284.2,Servicios,23.66097172078722,-100.64826490326142
78884,236,376.289,0.6,Industria manufacturera,22.634153747584392,-100.13787237855249
78394,1256,9.877,127.2,Industria manufacturera,22.127325309750358,-100.89879216662368
79554,470,89.513,5.3,Alimentos y bebidas,22.06250733431998,-100.60667834872068
79556,325,60.978,5.3,Comercio,21.918872371923975,-100.74376938142986
78897,157,277.032,0.6,Comercio,23.00441869501165,-100.40196584202111
78544,146,248.755,0.6,Salud y educación,23.64885687336466,-101.22499686318119
78890,253,287.908,0.9,Comercio,23.220500678827662,-100.24450068449705
78895,246,223.994,1.1,Servicios,22.894166083108956,-100.12377423171918
78883,232,353.868,0.7,Servicios,22.779171841085873,-100.19576672816875
78885,143,292.969,0.5,Comercio,22.671559005675704,-100.32504469673903
79553,511,51.036,10.0,Comercio,21.99651054807703,-100.59143078204058
79585,345,108.322,3.2,Alimentos y bebidas,21.688473956218704,-100.78243985024842
78496,195,221.411,0.9,Comercio,21.974862357252277,-101.18031074587313
78956,598,70.139,8.5,Servicios,22.616952627616765,-100.76764094306583
78930,116,279.233,0.4,Comercio,22.96474975424456,-101.30949491889594
78935,133,229.381,0.6,Servicios,22.94526192231359,-100.89125792015362
79377,449,91.06,4.9,Servicios,22.10264802585698,-99.80379069367879
79680,3200,0.438,7305.3,Servicios,21.651237072035222,-99.81865771140525
79584,589,71.845,8.2,Servicios,21.650714009018,-100.65294893255438
78637,269,290.999,0.9,Alimentos y bebidas,23.25064252753695,-101.47221548160117
78635,87,367.392,0.2,Industria manufacturera,23.39569879373341,-101.30178130851742
78634,159,513.868,0.3,Servicios,23.43384195711438,-101.45054930348473
79586,341,60.736,5.6,Industria manufacturera,21.63157398477178,-100.80025484852344
78644,148,189.643,0.8,Servicios,23.314819182877738,-102.04537212269317
78645,247,158.907,1.6,Salud y educación,23.200774266604007,-102.08396032915923
79588,535,73.951,7.2,Comercio,21.598591396486125,-100.71829312612968
79566,360,86.974,4.1,Comercio,21.845207849269663,-100.62441668166265
79798,482,93.554,5.2,Alimentos y bebidas,21.595629503394665,-99.43475716023916
79796,248,116.02,2.1,Industria manufacturera,21.51819161753118,-99.422436248211
